Iteraciones,Modelo 1,Modelo 2,Modelo 3
0,0.04492857142857143,0.0345,0.05507142857142857
1,0.043,0.035,0.05135714285714286
2,0.04528571428571428,0.0335,0.0435
3,0.05042857142857143,0.0345,0.056
4,0.05307142857142857,0.030642857142857142,0.052714285714285714
5,0.05071428571428571,0.0335,0.04907142857142857
6,0.04107142857142857,0.0335,0.053214285714285714
7,0.044642857142857144,0.030071428571428572,0.0465
8,0.04371428571428571,0.03678571428571428,0.06878571428571428
9,0.04757142857142857,0.0335,0.05
